,R,F,M,C,L
182,17,47,91018,1.389867279,83
183,95,14,123662,1.022610665,43
184,107,49,90602,1.394936204,93
185,2,86,157799,0.799002655,106
186,11,60,106278,1.182681834,73
187,4,110,166843,0.7509068409999999,104
188,179,15,183480,0.681333333,43
189,2,67,119347,1.046676247,108
190,1,51,99034,1.259950118,49
191,69,74,96520,1.289827497,46
192,27,12,121632,1.023333333,42
193,6,59,85171,1.461263576,52
194,18,120,176951,0.701123814,55
195,3,60,88428,1.40060309,66
196,1,57,90553,1.3667442269999999,93
197,57,43,195034,0.631640227,27
198,2,113,151060,0.81511929,71
199,23,42,165589,0.743348652,106
200,16,58,94554,1.299097235,107
201,30,16,184227,0.66544855,101
202,18,122,180074,0.68017726,112
203,6,72,91164,1.343311285,106
204,10,113,121394,1.008554047,52
205,2,77,157206,0.7772353470000001,103
206,10,57,91658,1.332451177,63
207,13,16,115401,1.057235119,26
208,9,77,151637,0.803643702,58
209,3,88,117157,1.039534044,110
210,51,13,137604,0.884236795,82
211,3,124,113615,1.0701947809999999,106
212,31,69,147549,0.823818121,100
213,1,66,86430,1.406350341,73
214,102,26,178921,0.6793056709999999,39
215,4,59,94946,1.273062688,55
216,1,125,189177,0.6379945770000001,81
217,11,97,171544,0.701652637,60
218,3,57,144505,0.832500467,98
219,5,64,262290,0.457967364,38
220,114,49,88903,1.3509114430000002,111
221,2,58,84353,1.423312271,78
222,5,136,145540,0.82433441,107
223,4,68,148879,0.8048453440000001,39
224,4,71,180226,0.664729007,73
225,16,116,130636,0.9163108940000001,88
226,1,110,172640,0.6930268190000001,82
227,12,105,145253,0.823284201,68
228,21,52,83356,1.433468257,60
229,3,106,167199,0.714441235,105
230,178,11,112128,1.065035317,107
231,13,59,92635,1.2839906079999999,47
232,18,59,145433,0.817583423,76
233,26,83,94441,1.2547285609999999,98
234,317,10,122320,0.966,22
235,1,116,136228,0.8661216490000001,67
236,2,95,138873,0.849043083,107
237,6,79,151183,0.7788971640000001,31
238,7,76,86061,1.367977249,96
239,1,100,91727,1.282347182,80
240,1,107,165304,0.7108682190000001,112
241,290,25,109336,1.074683178,97
242,13,114,151625,0.774562836,69
243,9,57,84080,1.3949203140000002,48
244,22,76,119514,0.98076627,86
245,99,11,111496,1.05,17
246,30,43,94144,1.240551283,95
247,22,20,148827,0.7845195429999999,37
248,32,53,85000,1.373478,81
249,4,56,82981,1.403768453,102
250,2,84,140535,0.827823318,30
251,6,111,141864,0.819703519,72
252,18,109,126167,0.921339098,34
253,5,60,98083,1.175007596,96
254,3,61,161499,0.713012031,44
255,9,43,93447,1.231469603,67
256,5,149,157683,0.724336929,87
257,4,43,111807,1.020765158,41
258,83,56,114358,0.9958276640000001,47
259,3,94,109142,1.0409337379999999,100
260,13,84,139338,0.811427392,103
261,9,16,107047,1.051401627,20
262,17,128,131315,0.856878118,98
263,2,124,130776,0.8600265340000001,89
264,4,111,130622,0.8591966129999999,38
265,1,77,134838,0.832180765,56
266,22,42,77936,1.4360421369999998,95
267,1,124,160524,0.695089955,52
268,6,19,96503,1.156085303,32
269,45,53,134627,0.828407972,43
270,1,61,83245,1.337276713,33
271,1,17,105377,1.0563960829999999,51
272,4,48,119036,0.9347252090000001,31
273,22,26,94249,1.178456641,89
274,31,43,79426,1.3955870869999998,96
275,61,87,115134,0.962306964,55
276,1,114,124499,0.889901525,46
277,20,54,75651,1.462917873,49
278,20,68,163454,0.676618926,51
279,6,112,134757,0.82046172,78
280,13,73,163958,0.6731207379999999,65
281,38,49,80641,1.3682818909999999,81
282,2,40,127004,0.868515165,19
283,5,82,135413,0.81353969,108
284,1,154,129582,0.8481413309999999,62
285,13,58,145294,0.7557019559999999,100
286,2,52,97731,1.120337764,67
287,8,43,78765,1.388142957,40
288,4,105,138593,0.7888733920000001,61
289,4,97,116461,0.93836632,98
290,112,17,121870,0.896000164,45
291,59,32,77106,1.416159832,49
292,5,37,119320,0.9142707840000001,46
293,5,86,159612,0.682643911,96
294,13,62,139995,0.778110575,24
295,11,67,127081,0.856602875,39
296,8,84,129836,0.837625235,93
297,8,117,132853,0.8163014759999999,62
298,2,122,129272,0.837572715,57
299,24,87,131029,0.82610529,94
300,2,73,75413,1.4347562090000001,62
301,8,97,113939,0.949395993,102
302,5,93,150612,0.7180637,49
303,8,83,134621,0.8017396990000001,49
304,11,105,145865,0.7375951740000001,42
305,56,27,164336,0.654476682,75
306,31,24,110964,0.968107765,99
307,2,137,122439,0.874927107,95
308,22,57,90144,1.187537496,18
309,7,50,89115,1.201031476,51
310,8,45,139898,0.765013009,34
311,1,109,122024,0.877036239,29
312,18,46,80830,1.32374168,51
313,17,77,139876,0.763144213,68
314,5,60,154736,0.689844509,89
315,6,66,151383,0.705022823,21
316,4,77,144030,0.74088551,83
317,16,77,80208,1.3258335829999999,96
318,13,28,77108,1.3789923219999998,41
319,113,34,143761,0.739229694,34
320,9,62,141413,0.751386294,81
321,34,53,73717,1.440717609,47
322,4,37,72741,1.4590118369999998,30
323,65,94,126174,0.839762709,85
324,10,48,74411,1.4236073969999998,81
325,5,52,73647,1.4306748409999999,44
326,1,52,135689,0.776371777,34
327,33,59,127314,0.827179729,100
328,9,72,149171,0.705943112,73
329,13,47,76753,1.37078264,70
330,9,107,169750,0.619739087,112
331,23,96,136246,0.7718554670000001,32
332,5,132,151273,0.694012613,23
333,2,168,130985,0.8006591590000001,38
334,17,49,125237,0.837061811,27
335,136,12,103960,1.00799115,111
336,13,36,109695,0.9543194309999999,87
337,77,21,137610,0.7606666670000001,95
338,24,60,137654,0.760252081,62
339,33,84,117382,0.8915401,112
340,7,59,97219,1.075326325,95
341,1,118,139566,0.746258043,95
342,27,49,78417,1.327684941,67
343,4,74,113789,0.91433425,19
344,7,64,139827,0.7440065220000001,27
345,19,47,71121,1.461826465,79
346,1,46,71012,1.462023883,88
347,7,115,115562,0.8967864,82
348,13,28,72232,1.4345135119999999,41
349,351,12,100421,1.029644795,45
350,8,65,93221,1.1075239479999999,92
351,66,24,183418,0.562442563,51
352,4,50,135574,0.7601155829999999,67
353,5,98,141053,0.728867305,83
354,1,46,73338,1.3989986090000002,102
355,17,61,114031,0.899280547,57
356,84,28,82659,1.238878525,28
357,68,28,73852,1.3861765419999998,26
358,15,17,104641,0.978310605,17
359,1,51,72274,1.416135816,94
360,16,85,104969,0.974864579,73
361,2,128,147767,0.69244581,98
362,14,23,157186,0.6506196479999999,18
363,2,78,121231,0.84343724,73
364,1,67,135439,0.754458243,62
365,1,96,131739,0.775295546,103
366,20,118,143796,0.7100688479999999,35
367,48,86,128754,0.792415925,20
368,5,36,124032,0.82250645,25
369,83,10,99312,1.025894957,56
370,1,34,70486,1.4433162609999999,90
371,2,23,74910,1.357742091,92
372,5,76,138952,0.7315326879999999,85
373,19,45,145724,0.696498655,51
374,18,111,145458,0.697522309,103
375,25,47,82382,1.230913428,95
376,1,84,75766,1.337146213,98
377,1,134,116627,0.8674246959999999,108
378,3,46,130782,0.7711733270000001,96
379,6,96,135009,0.746628299,112
380,94,16,107690,0.936013465,38
381,11,83,133367,0.7554607959999999,105
382,3,93,109943,0.91579564,102
383,6,13,159016,0.632307692,32
384,2,36,113253,0.886428351,17
385,11,73,123568,0.810458452,95
386,1,98,76759,1.3033094490000001,26
387,3,116,140571,0.7104835279999999,94
388,17,61,81113,1.230116011,107
389,13,85,70965,1.401901923,44
390,10,48,68459,1.453157218,82
391,6,104,137698,0.7217528940000001,77
392,12,57,84129,1.179321043,94
393,9,43,130985,0.757415506,95
394,12,101,117880,0.841051069,37
395,2,69,141164,0.7021256840000001,77
396,5,71,70069,1.413737887,77
397,5,124,118049,0.837548052,62
398,18,86,89195,1.10819519,76
399,12,82,120536,0.8186665390000001,81
400,1,122,137879,0.7144708040000001,36
401,20,18,136876,0.718332944,21
402,22,39,70792,1.3874498530000001,109
403,4,83,112709,0.870657357,44
404,1,81,99888,0.982403492,81
405,34,66,111545,0.8786453000000002,66
406,41,46,71622,1.365195471,108
407,3,75,131146,0.745084105,79
408,79,69,126180,0.7741921070000001,110
409,10,45,68136,1.432941764,54
410,4,36,66829,1.4604936480000001,80
411,1,106,130691,0.7464892759999999,111
412,19,64,66612,1.464381643,45
413,6,61,132797,0.7340983609999999,30
414,1,67,123556,0.788739195,19
415,30,52,125190,0.778333174,95
416,13,21,138363,0.704172358,36
417,9,100,116315,0.8364075999999999,30
418,1,119,100147,0.9713272490000001,72
419,20,79,74503,1.305487564,109
420,4,101,118160,0.822947613,55
421,5,116,129478,0.750052132,102
422,85,42,74368,1.3036952720000001,35
423,3,82,126149,0.7679306220000001,107
424,11,96,134194,0.72174598,101
425,11,79,124218,0.779597965,67
426,4,133,143216,0.675632052,96
427,15,73,134897,0.7170868140000001,61
428,1,58,122349,0.7904340040000001,96
429,135,19,130168,0.7423071720000001,66
430,1,62,76356,1.265360941,14
431,5,46,67761,1.425841856,76
432,16,38,66550,1.450518407,33
433,23,65,112320,0.858959758,44
434,13,15,99645,0.9681668920000001,15
435,2,93,127824,0.754275019,46
436,6,13,147883,0.6511630820000001,65
437,4,60,118514,0.811934708,75
438,2,93,117159,0.82114127,42
439,15,83,134851,0.712543548,28
440,16,44,108388,0.8862730190000001,21
441,8,62,112125,0.855358305,102
442,2,89,78410,1.221743017,40
443,2,78,121245,0.789605839,109
444,26,39,70142,1.3639718,83
445,14,101,102834,0.9299381529999999,54
446,17,44,65769,1.452790676,50
447,32,31,69453,1.375394871,55
448,7,75,122158,0.781846052,56
449,18,93,106705,0.894763601,81
450,20,54,71496,1.33526505,47
451,18,73,76834,1.2420329540000001,102
452,2,70,98334,0.969874916,107
453,14,36,102876,0.9265317470000001,72
454,5,45,67936,1.4012784090000001,74
455,14,97,66431,1.4327861990000001,65
456,10,107,132823,0.715139321,53
457,8,123,111589,0.8507229209999999,72
458,29,38,67361,1.408719882,31
459,13,98,129338,0.7335678609999999,83
460,7,33,65345,1.4518301319999998,79
461,6,39,68043,1.393603751,64
462,8,72,73670,1.286411022,42
463,6,83,126476,0.7490311209999999,41
464,4,66,121756,0.7776507109999999,108
465,37,46,120983,0.78231049,72
466,9,65,102504,0.9232600679999999,112
467,5,99,123899,0.763360156,82
468,4,54,64453,1.463962112,60
469,16,65,107397,0.8783021870000001,84
470,243,27,100143,0.941445133,94
471,21,36,72186,1.302530408,61
472,20,61,71752,1.3061068679999999,31
473,32,49,65717,1.425973949,88
474,3,46,71260,1.3145343809999999,69
475,6,103,125149,0.7469010540000001,72
476,73,52,76072,1.228696235,81
477,9,36,68799,1.35804096,18
478,12,37,66530,1.4023350369999998,56
479,14,100,64900,1.4373,100
480,7,51,87589,1.06409081,78
481,12,69,125139,0.742781227,87
482,8,82,109233,0.8508076309999999,21
483,17,13,95577,0.9717373429999999,17
484,25,65,74458,1.246913025,37
485,5,45,74389,1.247410235,23
486,2,118,137477,0.67473221,85
487,11,75,127816,0.7257207240000001,70
488,1,56,117444,0.789488352,34
489,6,73,128233,0.720501275,84
490,17,66,82682,1.1168940040000002,41
491,6,21,139888,0.660121097,32
492,4,78,114244,0.8077245190000001,68
493,2,90,122350,0.753979567,69
494,8,80,120362,0.766244247,112
495,85,20,121103,0.761441087,25
496,31,80,117968,0.781219907,110
497,34,95,104659,0.87833354,110
498,2,99,117708,0.7805520440000001,89
499,17,90,128188,0.716619964,84
500,1,33,63453,1.447113927,80
501,12,73,110537,0.8304361440000001,105
502,18,127,124500,0.7372848190000001,94
503,158,83,114627,0.8003160690000001,32
504,8,27,90731,1.010241814,27
505,1,97,149015,0.614937825,48
506,7,77,104572,0.875997495,93
507,65,19,86805,1.053728357,51
508,41,13,125853,0.72670131,86
509,1,139,129859,0.703798197,108
510,6,86,113677,0.803908618,104
511,2,82,123788,0.7376269109999999,106
512,31,41,91797,0.9943289000000001,93
513,2,72,120888,0.7550119120000001,52
514,11,82,116502,0.782969391,108
515,4,83,66764,1.36549308,24
516,14,92,103985,0.8751388179999999,99
517,25,49,98732,0.9204995340000001,93
518,10,74,126274,0.719323851,112
519,4,78,106195,0.854748717,45
520,9,49,105720,0.858548997,78
521,29,44,69154,1.311839518,54
522,13,26,103395,0.8757814209999999,84
523,2,85,124022,0.729566125,112
524,5,49,62116,1.454720362,40
525,5,69,105755,0.854199991,103
526,8,53,114734,0.7872666340000001,16
527,67,11,134552,0.6709090910000001,65
528,10,55,117957,0.76517731,96
529,14,39,63230,1.4274219519999998,111
530,34,18,124386,0.725114241,64
531,22,63,137264,0.656078433,59
532,181,23,169931,0.529890073,50
533,13,55,103869,0.8668173370000001,32
534,24,36,112436,0.7999573090000001,23
535,8,43,69158,1.299686515,96
536,2,59,78595,1.142706025,48
537,4,69,98267,0.913754872,23
538,27,77,149556,0.600361671,30
539,21,75,113205,0.793122565,66
540,14,89,98446,0.911670561,102
541,1,51,71594,1.251371344,35
542,65,15,84976,1.0531992559999999,80
543,10,51,121900,0.7337164890000001,94
544,13,63,84110,1.062971704,106
545,3,67,114895,0.77813186,104
546,58,35,102698,0.869739722,105
547,3,31,112940,0.789749247,56
548,4,63,131617,0.677294726,27
549,1,95,112565,0.7918911740000001,82
550,13,97,111809,0.7958487240000001,99
551,9,67,124788,0.712584784,86
552,2,101,119673,0.742826118,99
553,21,60,131743,0.6731966779999999,48
554,38,12,121632,0.7283333329999999,38
555,3,48,63061,1.4044699580000002,43
556,3,52,62006,1.427972616,35
557,9,11,80261,1.09967805,54
558,2,92,108930,0.8101632240000001,96
559,1,67,116848,0.754195707,96
560,6,47,68720,1.280616269,88
561,46,109,144111,0.61047623,92
562,12,82,135759,0.6466828720000001,95
563,21,68,107075,0.819026757,93
564,16,79,113061,0.775295725,25
565,11,74,119277,0.734588563,23
566,113,31,59830,1.463755474,94
567,8,34,87326,1.0018575220000001,22
568,3,74,126760,0.690051909,86
569,7,7,85624,1.021428571,20
570,93,36,118329,0.739067177,60
571,9,43,71368,1.224596738,20
572,36,106,128750,0.678582369,51
573,3,89,106167,0.82264602,66
574,104,62,89752,0.9725639540000001,48
575,11,36,63184,1.380619144,53
576,12,51,118422,0.73627451,23
577,5,69,119146,0.731558088,97
578,1,84,90564,0.962312287,110
579,5,68,109665,0.794431222,99
580,3,20,113068,0.7694140690000001,83
581,89,27,106399,0.8167115290000001,38
582,2,64,114718,0.757229554,77
583,7,113,147384,0.589203374,107
584,2,40,60149,1.4430294769999998,77
585,2,80,138420,0.624723523,98
586,41,53,113194,0.76250826,67
587,1,109,123276,0.700098478,54
588,4,70,112890,0.764457525,44
589,9,35,62808,1.37325484,52
590,29,34,65969,1.307116221,27
591,27,88,110192,0.782405619,62
592,10,101,104916,0.821220119,53
593,15,44,123585,0.697107982,85
594,1,57,124821,0.6901963609999999,81
595,11,43,70258,1.2256450509999999,43
596,4,57,101773,0.846069291,40
597,11,82,121881,0.705870234,77
598,23,69,94964,0.9038699929999999,54
599,44,63,102801,0.833366699,49
600,230,12,84488,1.013213001,23
601,17,69,99590,0.8593490309999999,41
602,4,88,92775,0.922312153,80
603,3,59,133334,0.6414616679999999,24
604,10,40,133403,0.640861525,95
605,86,13,113580,0.752468392,63
606,11,68,119701,0.7120725809999999,106
607,3,69,119959,0.7104411509999999,40
608,4,38,63749,1.335886053,22
609,18,97,95578,0.8904420470000001,96
610,34,13,96745,0.8791565459999999,108
611,3,84,124877,0.680674344,39
612,79,33,60566,1.400179804,72
613,25,61,129994,0.652295875,78
614,17,87,114443,0.740124516,81
615,13,17,105518,0.80243475,65
616,3,62,104351,0.810345085,98
617,2,79,102926,0.8209831340000001,76
618,85,58,94188,0.896582367,72
619,48,26,126699,0.666378424,75
620,2,82,120396,0.7009850000000001,31
621,7,94,110837,0.761320588,89
622,15,43,88958,0.9478419029999999,22
623,9,49,82626,1.019422095,107
624,11,32,87009,0.967861715,79
625,4,82,119037,0.706153885,35
626,22,62,101808,0.824876139,43
627,18,67,95683,0.877645872,22
628,30,81,103927,0.807743897,56
629,7,86,105952,0.7913474970000001,104
630,102,6,73392,1.141666667,83
631,69,9,91224,0.9177777779999999,41
632,4,63,102466,0.81701218,54
633,66,38,124410,0.672776465,112
634,2,40,63801,1.311356405,44
635,9,73,120191,0.695825062,101
636,15,71,107032,0.78021629,85
637,1,74,86299,0.967311788,53
638,103,45,83894,0.995006913,23
639,1,127,131400,0.635267428,70
640,4,86,130146,0.641211101,77
641,29,58,114424,0.728744669,55
642,3,69,101139,0.82410712,34
643,43,38,78846,1.056982345,93
644,19,78,115093,0.723989122,66
645,68,16,96627,0.862176721,99
646,163,37,58302,1.428155295,83
647,5,76,116724,0.7130119770000001,80
648,2,44,67601,1.230681203,62
649,3,99,87395,0.9514648440000001,108
650,14,51,61100,1.3578358430000002,26
651,5,66,114482,0.722954875,66
652,5,77,94084,0.879383317,92
653,2,106,104750,0.78942673,81
654,1,94,130742,0.632198528,22
655,27,89,109773,0.7526219559999999,34
656,37,11,101908,0.8100533809999999,22
657,17,19,114608,0.7193145329999999,74
658,7,57,87522,0.941829369,35
659,18,65,110131,0.747842479,35
660,76,25,58213,1.413954787,21
661,26,51,57992,1.418412885,101
662,19,54,77707,1.057823619,24
663,46,13,118818,0.691331701,66
664,7,72,65267,1.25802427,24
665,2,93,118300,0.693748774,66
666,27,31,60318,1.35912265,46
667,4,78,99566,0.8228736720000001,87
668,4,96,123933,0.661020551,70
669,20,58,99952,0.81945874,67
670,8,85,115207,0.710912445,21
671,5,65,92722,0.883145532,94
672,4,85,124859,0.65577155,109
673,88,14,79047,1.035521272,39
674,2,60,118246,0.6915089729999999,30
675,8,39,60512,1.3509103980000001,88
676,61,36,75213,1.086663476,35
677,46,17,109583,0.745799622,107
678,21,104,93309,0.875784758,53
679,15,50,125199,0.6526988229999999,95
680,12,41,108363,0.7536585370000001,72
681,195,20,77590,1.052316793,19
682,7,68,86064,0.9486224209999999,78
683,2,99,105598,0.77280422,83
684,12,98,120774,0.6753600940000001,40
685,8,89,106510,0.764573373,111
686,71,35,105725,0.7683779620000001,66
687,6,78,105745,0.767752423,86
688,4,75,119758,0.677779021,48
689,15,56,57828,1.402678633,95
690,2,29,81848,0.99101884,26
691,45,55,100558,0.8062292409999999,27
692,18,26,70104,1.156431302,88
693,5,66,94599,0.856638865,82
694,5,67,112610,0.7188581829999999,96
695,17,65,99061,0.81700528,44
696,9,76,82442,0.9812910890000001,44
697,4,38,58995,1.370945673,82
698,17,51,113913,0.7100000879999999,36
699,3,71,109398,0.738039452,94
700,9,67,64594,1.248345512,19
701,25,61,108008,0.746502852,112
702,3,44,56219,1.4340239069999998,68
703,1,120,101087,0.797076083,54
704,1,101,94342,0.853658074,41
705,8,34,58541,1.375456688,44
706,9,70,116485,0.689642615,90
707,28,34,90814,0.883529412,58
708,35,31,100130,0.8012903229999999,22
709,62,44,102276,0.7843010090000001,25
710,27,43,60630,1.322550717,45
711,34,62,104969,0.762393469,50
712,26,35,57698,1.386811155,71
713,4,51,92818,0.8615744790000001,75
714,3,59,118571,0.6739168940000001,24
715,6,54,64470,1.2387031179999999,30
716,23,55,84601,0.9425804659999999,26
717,69,34,84892,0.938940654,27
718,2,58,107038,0.7446574109999999,61
719,3,83,95665,0.8329750690000001,88
720,3,39,64329,1.238633431,98
721,18,65,102141,0.7799595659999999,107
722,10,44,83527,0.953680726,66
723,1,64,124573,0.639421062,88
724,67,50,64381,1.2370464890000001,25
725,83,27,55673,1.42926697,34
726,9,40,77198,1.030612192,109
727,2,72,107745,0.7381336490000001,104
728,41,47,57158,1.391171839,81
729,1,70,112030,0.709738017,99
730,113,51,107440,0.739495067,38
731,1,52,98327,0.8075949640000001,94
732,2,57,99434,0.798412817,21
733,2,56,87321,0.908338086,102
734,13,32,60308,1.3146624,51
735,1,65,94255,0.8411298070000001,98
736,30,16,127164,0.623378315,52
737,8,81,110402,0.7176489559999999,46
738,101,44,104867,0.7555097409999999,72
739,11,96,107452,0.7372859509999999,38
740,75,37,77098,1.025352668,14
741,10,63,108377,0.729203429,36
742,21,81,116556,0.677642764,52
743,13,82,127934,0.617297044,51
744,2,38,62200,1.269493087,84
745,38,25,63767,1.238245644,97
746,70,50,58964,1.338983448,59
747,6,66,95599,0.825197125,60
748,2,75,96092,0.820139033,67
749,12,70,119084,0.661306893,35
750,3,93,67658,1.1630145729999999,72
751,2,97,98027,0.8019518090000001,80
752,20,72,100623,0.780282142,41
753,5,65,105089,0.746562628,48
754,60,45,57094,1.3739172240000002,102
755,10,27,53927,1.4536389930000002,70
756,2,81,99333,0.789152044,60
757,8,74,123708,0.633542051,37
758,2,81,96407,0.8128448140000001,102
759,63,43,87048,0.9000129809999999,21
760,62,13,74307,1.054007025,42
761,2,68,87657,0.8934457029999999,50
762,3,51,105499,0.742125613,33
763,36,65,94928,0.8242233059999999,56
764,12,61,95828,0.816480465,81
765,3,34,54155,1.4419512509999999,102
766,1,106,73656,1.059797165,102
767,10,68,117406,0.664639116,51
768,5,69,59262,1.315850461,36
769,9,31,54938,1.418710546,23
770,4,85,123956,0.6286328210000001,48
771,9,85,115698,0.6731533820000001,112
772,21,44,122665,0.6342576120000001,21
773,2,82,84793,0.917503332,108
774,20,78,92800,0.837629526,22
775,288,35,98033,0.7928544470000001,46
776,23,64,113219,0.6863847059999999,40
777,3,49,106738,0.727940377,47
778,143,9,110088,0.705555556,26
